,0
71,达多多_商品总体销量历史_【84颗】五香鹌鹑蛋香辣鹌鹑蛋网红爆款宿舍零食卤蛋无壳休闲熟食
72,达多多_商品总体销量历史_【8桶装】小鸡炖蘑菇面方便面浓香四溢Q弹爽口泡面免煮速食冲泡桶装
73,达多多_商品总体销量历史_【8袋9.9】花椒锅巴椒香麻辣香酥零食解馋办公室休闲手工食品好吃的
74,达多多_商品总体销量历史_【9.99元2袋】锁鲜鸭翅100g（每袋6-8根）香辣卤味翅中翅尖肉类年货
75,达多多_商品总体销量历史_【9.9_2大包】鸡肉干切条鸡胸肉代餐原切鸡肉条零食解馋
76,达多多_商品总体销量历史_【9.9元20包】思乡山臭干子辣条童年味道8090后辣条网红休闲小零食
77,达多多_商品总体销量历史_【9.9元30包】轻咔熊8种轻零食大礼包休闲零食追剧小零食（6.6到期）
78,达多多_商品总体销量历史_【9.9元_2盒_20枚】当日现做现发绿豆饼传统手工糕点短保软糯口味
79,达多多_商品总体销量历史_【9.9元_袋】翠香猕猴桃干优选鲜果大片厚切富含高维C营养零食果干
80,达多多_商品总体销量历史_【9.9元到手52包】云南农科院黑咖啡美式0脂冷热双泡3秒速溶醇厚
81,达多多_商品总体销量历史_【9.9到手12包】果子开荟甄选椰奶益生菌营养奶香燕麦片冲泡轻便装
82,达多多_商品总体销量历史_【9.9到手40包】三只松鼠_定制款0卡蒟蒻果冻_混合味_480g量贩装dy
83,达多多_商品总体销量历史_【一号果仓】新鲜黄桃罐头混合水果510克_四瓶一箱水果罐头即食罐头
84,达多多_商品总体销量历史_【一纸花约】蜜桃乌龙茶白桃包花果袋泡茶叶组合水果茶小包装冷泡茶
85,达多多_商品总体销量历史_【不加糖420g】新鲜季节红薯干真空独立带皮香薯地瓜干软糯香甜
86,达多多_商品总体销量历史_【不辣版】佳仙锅主酱香香锅调料 麻辣香锅干锅炒菜小炒酱川味底料
87,达多多_商品总体销量历史_【专享】钵钵鸡 调料包串串香家用正宗底料包四川特色麻辣鲜香美味
88,达多多_商品总体销量历史_【临期特卖】连咖啡14杯每日鲜萃黑咖啡生酪芝士_榛果_蜜桃乌龙风味
89,达多多_商品总体销量历史_【主播推荐】正宗地道重庆小面非油炸面饼香辣风味冲泡即食桶装
90,达多多_商品总体销量历史_【乌江】脆口榨菜萝卜组合 开味下饭菜鲜脆爽口
91,达多多_商品总体销量历史_【买2送1】甄磨坊黑芝麻丸红枣核桃芝麻丸健康选择老少皆宜营养含量
92,达多多_商品总体销量历史_【买3送2】坚果薏米芡实茯苓八珍糕手工制作不加蔗糖健康美味八珍糕
93,达多多_商品总体销量历史_【买一送一】正宗芒果汁360ml_12瓶果汁饮料批发清仓特价便携装
94,达多多_商品总体销量历史_【买八赠二】诸老大21天短保手工酱香黑猪双蛋黄黑猪肉粽嘉兴
95,达多多_商品总体销量历史_【健力宝】运动电解质碳酸饮料小胶瓶300ML_12畅饮解渴商城专属s
96,达多多_商品总体销量历史_【傻太婆】双色亚麻籽三色藜麦粗粮馍片椒盐_香辣 1斤_2斤解馋营养
97,达多多_商品总体销量历史_【全新升级！112包】三只松鼠_原味肉脯靖江特产肉干小吃休闲零食dy
98,达多多_商品总体销量历史_【六一礼物】手撕风干鸭脖回味一梦零食大礼包一整箱超大送男女朋友
99,达多多_商品总体销量历史_【出口品质】不集欧芹大蒜盐调味料增香轻食水煮菜西餐牛排蒜盐粉
100,达多多_商品总体销量历史_【到手20袋】君乐宝简醇0添加蔗糖生牛乳发酵营养风味酸奶100g_20
101,达多多_商品总体销量历史_【到手2盒】0添加蔗糖冰皮绿豆饼红豆饼新鲜绿豆糕传统老式美味糕点
102,达多多_商品总体销量历史_【到手5袋】小熊驾到意面番茄肉酱意大利面215g速食方便简单美味
103,达多多_商品总体销量历史_【厂家直销】正宗枇杷炖梨360ml_6_24瓶雪梨清润果味饮料四季常备
104,达多多_商品总体销量历史_【品牌自播】爽脆黄豆芽丽星豆芽酸辣粉150g大克重冲泡美味嗦粉微辣
105,达多多_商品总体销量历史_【品牌自播】豫道黑金版酸辣粉 135g_6桶装纯红薯粉方便速食6包料
106,达多多_商品总体销量历史_【夏日热练】暴肌独角兽0脂美式运动黑咖啡3秒速溶香醇厚冷热双泡
107,达多多_商品总体销量历史_【多口味组合】吴越斋嘉兴味道肉粽咸蛋黄鲜肉早餐大肉粽子
108,达多多_商品总体销量历史_【多送20包，到手40包】天合香颗粒装五香卤料包炖肉调料包5g_40包
109,达多多_商品总体销量历史_【大厨调制】海天酸辣凉拌汁 家常美食调味汁凉拌点蘸 凉菜口感丰富
110,达多多_商品总体销量历史_【好想你】新疆红枣500g_袋_2                                   
111,达多多_商品总体销量历史_【官方】味滋源雪媚娘蛋黄酥12枚营养糕点红豆香酥解馋办公室零食
112,达多多_商品总体销量历史_【官方旗舰店】林家铺子黄花鱼罐头110g_10罐下饭即食美味
113,达多多_商品总体销量历史_【实发50包买30包+送20包】Q弹手磨嫩豆干五香味办公休闲即食小零食
114,达多多_商品总体销量历史_【工厂直发】酸奶麻花豆沙榴莲夹心早餐8根100克_根（包含一根试吃）
115,达多多_商品总体销量历史_【已售500w袋】非油炸拌面条10袋装懒人食品寝室速食早餐方便即食
116,达多多_商品总体销量历史_【带箱2斤】香脆红薯片地瓜片美味香甜解馋休闲美味零食 含箱重量 
117,达多多_商品总体销量历史_【抢！9.9元8包】天合香烧烤料孜然粉调料烤肉蘸料撒料五香香辣味
118,达多多_商品总体销量历史_【抢！到手100包】酥脆小麻花网红休闲食品解馋小零食办公室宿舍小吃
119,达多多_商品总体销量历史_【拉面范旗舰店】寻味中华0油炸地方特色刀削面袋装-LC
120,达多多_商品总体销量历史_【拍2件减10元】柏慧膳食肉卷80g_8袋即食营养豆皮肉卷鸡肉零食
121,达多多_商品总体销量历史_【拍2箱立减23元】怪力食厂黑松露火腿苏打饼干零反式脂肪解馋酥脆
122,达多多_商品总体销量历史_【拍2箱立减26元】卡尔顿蛋皮吐司肉松沙拉夹心咸甜面包早餐零食品
123,达多多_商品总体销量历史_【拍一发二】王中王食用火腿肠组合30g_16支即食肠美味营养优级甄选
124,达多多_商品总体销量历史_【拍两份发80包】豆乳威化饼干酥脆芝士味休闲点心网红小零食30包
125,达多多_商品总体销量历史_【整箱16支】巧克力脆脆杯饼干脆筒儿童休闲办公小零食
126,达多多_商品总体销量历史_【新人专享】10包好吃岛山药脆片薄片零食办公休闲追剧薯片
127,达多多_商品总体销量历史_【新口味破价】话梅粒酸甜无核梅子肉厚大颗七分酸三分甜青柠口味
128,达多多_商品总体销量历史_【旗舰店】林家铺子混合水果罐头425g_6罐经典黄桃罐头即食罐头新鲜
129,达多多_商品总体销量历史_【无干燥剂】悦百汇芒果干净含量袋装零食休闲嚼劲香甜新鲜原切果脯
130,达多多_商品总体销量历史_【无添加蔗糖】麦思凯巧克力奶盖香浓奥巧慕斯礼盒装散装休闲食品
131,达多多_商品总体销量历史_【正宗猫牙米】23新米长粒香米现磨现发生态梯田米软糯优质孩子爱吃
132,达多多_商品总体销量历史_【活动】漯河开小差老式大辣片休闲零食儿时怀旧豆制品麻辣好吃童年
133,达多多_商品总体销量历史_【澳门葡记小金盒手信】黄油小花曲奇饼干蝴蝶酥千层酥蛋卷特产零食
134,达多多_商品总体销量历史_【爆品推荐】茶颜悦色干脆面包丁咸甜酥脆休闲小零食海盐焦糖味20袋
135,达多多_商品总体销量历史_【爆款冲量】华得莱厂家直发健康劲道好吃营养刀削面优质地道风味
136,达多多_商品总体销量历史_【爆！15包仅19.9元】荞麦非油炸葱油拌面旅行粗粮细作好吃有营养
137,达多多_商品总体销量历史_【爆！15包仅需19.9】非油炸添加葱油荞麦泡面全麦营养干吃原味方便
138,达多多_商品总体销量历史_【爆！3袋19.9元】云南富硒茶树菇原汁原味纯干货高钙高蛋白 30g_袋
139,达多多_商品总体销量历史_【特惠50包】劲辣小鱼仔湖南特产鱼干毛毛鱼海味麻辣零食品20包好吃
140,达多多_商品总体销量历史_【现做现发】泓一千层手撕面包整箱早晚代餐厚切吐司糕点休闲零食品
141,达多多_商品总体销量历史_【白象】网红甜辣火鸡面_小龙虾拌面泡面10袋速食方便面泡面ZB
142,达多多_商品总体销量历史_【白象】重庆风味酸辣粉115g_6桶
143,达多多_商品总体销量历史_【白象】香菜面方便面五合一醇香爆香口味美味鲜香10袋zb
144,达多多_商品总体销量历史_【直播专属】风干鸡胸肉干条0低减代餐卡脂网红即食夜宵解馋小零食
145,达多多_商品总体销量历史_【知仙味全】椒盐粉复合调味料300g油炸撒粉家用瓶装
146,达多多_商品总体销量历史_【种地吧】豪士藜麦吐司面包零食0蔗糖早餐充饥面包代餐食品整箱
147,达多多_商品总体销量历史_【空炸搭子酱】李锦记蜜汁叉烧调味料100g袋装广式风味叉烧酱家用
148,达多多_商品总体销量历史_【笨笨狗粗粮米果】非油炸蛋黄海苔味营养美味开袋即食零食健康甄选
149,达多多_商品总体销量历史_【糯叽叽 绵密爆浆】麦乐森榴莲泡芙雪媚娘12枚_箱 夹心独立包装
150,达多多_商品总体销量历史_【肌肉小王子】即食鸡胸肉低脂高蛋白质Q小胸奥尔良香辣黑椒混合
151,达多多_商品总体销量历史_【自带料包】轻师傅低脂免煮非油炸美味饱腹全麦添加营养口味方便面
152,达多多_商品总体销量历史_【臭干子】3.99元48块 鑫鼎记校园怀旧零食麻辣面筋辣条童年
153,达多多_商品总体销量历史_【草原汇香】酱牛肉150g_5袋草原酱牛肉正宗卤牛肉内蒙特产开袋食用
154,达多多_商品总体销量历史_【蜀中桃子姐】钵钵鸡调味料320g_3袋赠火锅底料50g+迷你湿巾_4包
155,达多多_商品总体销量历史_【表面榴芒 内芯柔软】麦乐森榴芒奶盖沙琪玛16枚_箱  松软美味早餐
156,达多多_商品总体销量历史_【触底618】念耳本草银耳古田高山营养膳食免洗免煮免泡发早餐滋养
157,达多多_商品总体销量历史_【超一斤】良品铺子加州西梅干508g膳食纤维休闲爆款大颗BDT
158,达多多_商品总体销量历史_【超值全家桶】茶口乐茶叶含片无糖草本清口润喉口气清新27克_9瓶装
159,达多多_商品总体销量历史_【超值购】依能天然苏打水弱碱性苏打水清凉饮用清爽顺滑400ml_15瓶
160,达多多_商品总体销量历史_【超值购】依能锌强化弱碱性苏打水饮料清凉无糖0卡0脂500ml_12瓶装
161,达多多_商品总体销量历史_【超厚切】玩铁猩猩厚切西梅吐司巧克力牛乳松软饱腹全麦面包早餐
162,达多多_商品总体销量历史_【软糯香甜】带皮倒蒸香薯干  不外加糖红薯干地瓜干番薯150g_400g
163,达多多_商品总体销量历史_【达人专享】脆升升香脆薯条小包装休闲健康零食追剧小食品20g_20包
164,达多多_商品总体销量历史_【达人专享价】耶气满满100%椰子水185g_10袋电解质水鲜椰青水孕妇
165,达多多_商品总体销量历史_【达人专属】自制生椰拿铁早餐搭配便携小包装清爽椰香冷榨醇厚丝滑
166,达多多_商品总体销量历史_【进店必打卡】镇店之宝非遗手工红糖麻花肉松麻花咸香酥脆糕点
167,达多多_商品总体销量历史_【配料只有大豆】九阳豆浆黑豆黄豆浆粉高蛋白香浓原味孕妇营养早餐
168,达多多_商品总体销量历史_【顺丰包邮】林源春100%白桦树原汁长白山白桦树汁300ml_9瓶
169,达多多_商品总体销量历史_【顺丰配送】真零酸奶1KG 桶装发酵酸奶零添加蔗糖代糖0乳糖控卡D
170,达多多_商品总体销量历史_【食乐康】草原精选酱牛肉150g_5袋五香老汤卤制简化配料高蛋白端午
171,达多多_商品总体销量历史_【高蛋白】不集脆皮肉粒肠玉米鸡肉肠肉枣肠休闲零食解馋开袋即食
172,达多多_商品总体销量历史_【鲨鱼菲特】0脂黑咖啡冷热双泡云南小粒咖啡代餐0脂肪醇香美式TZ
173,达多多_商品总体销量历史_【麻六记 手磨豆干】解馋蛋白麻辣_五香爽滑美味豆香浓郁入味爽口
174,达多多_商品总体销量历史_【麻六记 经典酸辣粉】四川正宗粗湿粉酱包原味鲜香特色调味冲泡
175,达多多_商品总体销量历史_【麻辣王子】正宗麻辣辣条416g袋装+2小包试吃（19.8元_28小包）
176,达多多_商品总体销量历史_一根筋麻辣香辣牛筋儿时怀旧辣条素牛筋解馋网红零食一根筋很长
177,达多多_商品总体销量历史_一米辣条 【3.99元8包】 600cm经典香油条香辣网红童年休闲校园美食
178,达多多_商品总体销量历史_三只松鼠【每日坚果_量贩罐装】健康混合干果孕妇休闲零食dy
179,达多多_商品总体销量历史_三太子蟹黄香酥干脆面蟹皇面夜宵看剧解馋办公室酥脆小零食干吃面
180,达多多_商品总体销量历史_三湘世家大长筋辣条香辣魔鬼辣网红爆款校园零食小时候的味道
181,达多多_商品总体销量历史_上行斋 和风生巧大福 17枚网红香浓巧克力福团糯米糍脏脏团雪媚娘
182,达多多_商品总体销量历史_中权【东北五常七色糙米·农科院配比·新米】五谷杂粮健康主食5斤起
183,达多多_商品总体销量历史_丽星好嗨呦红薯酸辣粉117g_3桶大学生夜宵美食免煮冲泡经典酸辣粉
184,达多多_商品总体销量历史_久大千米深井盐自贡井盐家庭食用精制食盐自然加碘未加碘320G_8袋
185,达多多_商品总体销量历史_乐事薯片无限组合包多口味104g×3罐原味酥脆聚会美味解馋小零食
186,达多多_商品总体销量历史_云南西双版纳香糯小玉米甜糯真空包装即食玉米棒迷你新鲜糯粘玉米
187,达多多_商品总体销量历史_五谷自由魔芋面305g_4袋添加酸辣口味美味速食代餐饱腹健身食用
188,达多多_商品总体销量历史_五黑紫米麻薯面包球 健康糕点 代餐饱腹 满口麦香 营养早餐
189,达多多_商品总体销量历史_低卡博士小花袄1.0 挺好吃的优选鲜椒牛肉酱低卡0脂肪拌饭下饭
190,达多多_商品总体销量历史_佳仙锅主焖饭酱汁50g 家用煲仔饭懒人焖饭蒸米饭酱香浓郁焖饭酱汁
191,达多多_商品总体销量历史_俄罗斯风味原味提拉米苏蜂蜜蛋糕早茶下午茶美味好吃早餐免费试吃
192,达多多_商品总体销量历史_倒蒸红薯干 三蒸三晒软糯香甜 代餐零食番薯干倒蒸地瓜干500g_袋
193,达多多_商品总体销量历史_光合力量0脂肪全麦面包无蔗糖减低脂早餐代餐吐司整箱1kg
194,达多多_商品总体销量历史_六一儿童节8.8元20包薯片零食大礼包混装套装夜宵充饥零食360g
195,达多多_商品总体销量历史_兽小饱 小青柠汁饮料整箱批发饮料厂家檬果汁饮品小青柠汁饮料
196,达多多_商品总体销量历史_冠欣原味瓜子363大颗粒正宗薄皮厂家直销休闲葵花籽瓜子方便香脆
197,达多多_商品总体销量历史_冷卡 荞麦方便面0脂肪免煮非油炸拌泡面代餐主食粗粮面条整箱饱腹
198,达多多_商品总体销量历史_切糕正宗切糕营养坚果 传统糕点 手工八宝切糕零食真材实料
199,达多多_商品总体销量历史_初吉乳清蛋白棒威化棒高蛋白运动饱腹健身健康夹心饼干360g_2
200,达多多_商品总体销量历史_刺猬阿甘花椒锅巴粗粮解馋零食15包麻辣酥脆追剧米香休闲零食整箱
201,达多多_商品总体销量历史_十月稻田黄糯玉米棒玉米粒香甜糯东北黏苞米好吃可拉丝铝膜真空装
202,达多多_商品总体销量历史_十月稻田黄糯玉米棒白糯甜糯香糯东北热乎黏苞米食用早餐真空装
203,达多多_商品总体销量历史_卤料包家庭卤小包装猪头红烧肉五香炖排骨调料包
204,达多多_商品总体销量历史_卤良将香辣味鸭肠麻辣鲜香脆嫩新鲜食材解馋零食开袋即食微辣95g
205,达多多_商品总体销量历史_卧龙锅巴花椒锅巴 纯大米手工厚锅巴麻辣解馋网红零食
206,达多多_商品总体销量历史_吉香居榨菜真芯即食减盐下饭鲜嫩爽口脆嫩鲜香脆口榨菜芯低脂肪
207,达多多_商品总体销量历史_吴越斋嘉兴粽子端午250g_10只全家福大肉粽_双蛋黄肉粽_早餐速食
208,达多多_商品总体销量历史_味出道粗粮吐司全麦面包代餐1000g整箱 营养早餐健身饱腹代餐食品
209,达多多_商品总体销量历史_咕咕哆黑芝麻饼干老式好吃薄脆营养早餐零食网红批发独立包装传统
210,达多多_商品总体销量历史_嗨吃家 龙年荞麦面75g_12袋魔芋代餐面泡面非油炸上班族速食早餐
211,达多多_商品总体销量历史_嗨吃家龙年miumiu面麻辣浓鲜香碳水小杯面点心泡面早餐速食LL001
212,达多多_商品总体销量历史_备得福_ 15包榨菜芯 脆嫩下饭菜咸菜酱菜即食开味小菜休闲美食30g
213,达多多_商品总体销量历史_多禧熊薄脆饼干清晰椰香味醇香巧克力味酥香美味清凉价解馋小零食
214,达多多_商品总体销量历史_天旭苦荞茶营养荞麦茶浓郁甘甜品质大麦茶密封干燥罐装净含量产品
215,达多多_商品总体销量历史_奇亚籽酸奶果粒燕麦片营养饱腹可做酸奶杯燕麦片杯搭配牛奶酸奶
216,达多多_商品总体销量历史_妙壳新疆美人甲茶盐味南瓜子长粒特大饱满炒货追剧年货小零食
217,达多多_商品总体销量历史_姜小美 推荐陈皮甘草正宗客家姜糖古法工艺制作180g_袋多组合可选
218,达多多_商品总体销量历史_守味者传统手工植物甜酒曲优质醪糟家用酵母月子酒酿土曲醇香制作
219,达多多_商品总体销量历史_宏途 仙虾片178g大礼包零食推荐 休闲追剧解馋小吃 酥脆 夏日六一
220,达多多_商品总体销量历史_官方补贴香脆原薯实心薯条网红饼干零食囤货20g_25包【自播专享】
221,达多多_商品总体销量历史_小嘻吖碎碎鸭湖南特产手撕酱板鸭辣卤熟食开袋即食小吃肉类零食
222,达多多_商品总体销量历史_小浣熊经典粉包干脆面方便面休闲零食8090后童年口味干吃面整箱装
223,达多多_商品总体销量历史_小野轻煮天妇罗粉懒人调料100g_袋日式炸虾裹粉家庭小袋调料包
224,达多多_商品总体销量历史_小饿，小满足烘焙牛乳千层吐司加热可翻页新鲜软糯营养早餐代餐
225,达多多_商品总体销量历史_尝布0蔗糖0脂肪黑咖啡 正宗国货速溶黑咖啡香醇美式80g_4送竹节杯
226,达多多_商品总体销量历史_屋头高山脆萝卜干榨菜麻辣下饭菜传统外婆酱菜甜辣萝卜丁泡菜CQQ
227,达多多_商品总体销量历史_山西古法纯粮酿造手工发酵老陈醋口感䰆礉醇厚陈醋800ML拍一发三
228,达多多_商品总体销量历史_山西特产纯碱烤馍健康小花卷非油炸碱水馍早餐零食酥脆烤馒头馍丁
229,达多多_商品总体销量历史_左烘右焙金丝椰香千层卷面包早餐充饥零食蛋糕手撕网红品代餐新鲜
230,达多多_商品总体销量历史_张导演猫山王榴莲千层生日蛋糕安佳动物奶油榴莲千层2盒赠1盒抹茶
231,达多多_商品总体销量历史_怀禹坊【9.9元到手3斤】铁棍山药龙须面 挂面粗粮杂粮筋道爽滑面条
232,达多多_商品总体销量历史_思乡山【传统工艺】湖南特产4大包平江酱干豆干零食香辣小吃香干 
233,达多多_商品总体销量历史_思乡山臭干子辣条童年味道儿时经典怀旧网红麻辣休闲零食20g_包
234,达多多_商品总体销量历史_恰巴塔面包全麦欧包代餐早餐原味手工口味低脂软欧包手工制作零食
235,达多多_商品总体销量历史_惠丰优牧嚼酸奶果粒燕麦酸奶170g_10袋装常温风味发酵乳早餐奶
236,达多多_商品总体销量历史_散装脆饼腰果芙巴旦木芙椰香薄脆饼干酪蛋糕充饥零食营养老少皆宜
237,达多多_商品总体销量历史_新疆大枣大个头肉厚核小和田红枣肉多核小很好吃
